Training mode: Adversarial only
Training model...
Epoch [34/200]	Time: 4.28 seconds	Total Loss: 1.112	Classifier Loss: 0.430	Transfer Loss: 0.68221	Source Domain Accuracy: 77.15%    Target Domain Accuracy: 73.50%
Epoch [35/200]	Time: 4.26 seconds	Total Loss: 1.111	Classifier Loss: 0.424	Transfer Loss: 0.68687	Source Domain Accuracy: 73.11%    Target Domain Accuracy: 69.99%
Epoch [36/200]	Time: 4.27 seconds	Total Loss: 1.106	Classifier Loss: 0.427	Transfer Loss: 0.67894	Source Domain Accuracy: 75.13%    Target Domain Accuracy: 72.98%
Epoch [37/200]	Time: 4.28 seconds	Total Loss: 1.108	Classifier Loss: 0.426	Transfer Loss: 0.68196	Source Domain Accuracy: 77.21%    Target Domain Accuracy: 73.70%
Epoch [38/200]	Time: 5.33 seconds	Total Loss: 1.096	Classifier Loss: 0.417	Transfer Loss: 0.67913	Source Domain Accuracy: 77.73%    Target Domain Accuracy: 74.15%
Epoch [39/200]	Time: 4.29 seconds	Total Loss: 1.095	Classifier Loss: 0.414	Transfer Loss: 0.68094	Source Domain Accuracy: 76.04%    Target Domain Accuracy: 73.63%
Epoch [40/200]	Time: 4.28 seconds	Total Loss: 1.094	Classifier Loss: 0.414	Transfer Loss: 0.68008	Source Domain Accuracy: 76.24%    Target Domain Accuracy: 73.44%
Epoch [41/200]	Time: 4.30 seconds	Total Loss: 1.087	Classifier Loss: 0.411	Transfer Loss: 0.67679	Source Domain Accuracy: 77.60%    Target Domain Accuracy: 73.63%
Epoch [42/200]	Time: 5.31 seconds	Total Loss: 1.090	Classifier Loss: 0.413	Transfer Loss: 0.67693	Source Domain Accuracy: 75.20%    Target Domain Accuracy: 71.68%
Epoch [43/200]	Time: 4.29 seconds	Total Loss: 1.096	Classifier Loss: 0.415	Transfer Loss: 0.68097	Source Domain Accuracy: 77.34%    Target Domain Accuracy: 74.67%
Epoch [44/200]	Time: 4.31 seconds	Total Loss: 1.086	Classifier Loss: 0.400	Transfer Loss: 0.68667	Source Domain Accuracy: 77.21%    Target Domain Accuracy: 73.18%
Epoch [45/200]	Time: 4.26 seconds	Total Loss: 1.076	Classifier Loss: 0.395	Transfer Loss: 0.68047	Source Domain Accuracy: 75.46%    Target Domain Accuracy: 73.76%
Epoch [46/200]	Time: 4.27 seconds	Total Loss: 1.073	Classifier Loss: 0.392	Transfer Loss: 0.68130	Source Domain Accuracy: 78.71%    Target Domain Accuracy: 73.24%
Epoch [47/200]	Time: 5.30 seconds	Total Loss: 1.077	Classifier Loss: 0.398	Transfer Loss: 0.67980	Source Domain Accuracy: 76.11%    Target Domain Accuracy: 73.24%
Epoch [48/200]	Time: 4.26 seconds	Total Loss: 1.079	Classifier Loss: 0.397	Transfer Loss: 0.68188	Source Domain Accuracy: 77.47%    Target Domain Accuracy: 72.59%
Epoch [49/200]	Time: 4.27 seconds	Total Loss: 1.062	Classifier Loss: 0.383	Transfer Loss: 0.67992	Source Domain Accuracy: 77.08%    Target Domain Accuracy: 73.24%
Epoch [50/200]	Time: 4.29 seconds	Total Loss: 1.070	Classifier Loss: 0.387	Transfer Loss: 0.68363	Source Domain Accuracy: 72.92%    Target Domain Accuracy: 69.40%
Epoch [51/200]	Time: 4.31 seconds	Total Loss: 1.067	Classifier Loss: 0.382	Transfer Loss: 0.68543	Source Domain Accuracy: 76.82%    Target Domain Accuracy: 73.57%
Epoch [52/200]	Time: 5.31 seconds	Total Loss: 1.075	Classifier Loss: 0.391	Transfer Loss: 0.68459	Source Domain Accuracy: 77.54%    Target Domain Accuracy: 73.96%
Epoch [53/200]	Time: 4.26 seconds	Total Loss: 1.065	Classifier Loss: 0.384	Transfer Loss: 0.68084	Source Domain Accuracy: 77.15%    Target Domain Accuracy: 73.89%
Epoch [54/200]	Time: 4.26 seconds	Total Loss: 1.071	Classifier Loss: 0.390	Transfer Loss: 0.68048	Source Domain Accuracy: 77.99%    Target Domain Accuracy: 74.28%
Epoch [55/200]	Time: 4.28 seconds	Total Loss: 1.063	Classifier Loss: 0.383	Transfer Loss: 0.67965	Source Domain Accuracy: 77.67%    Target Domain Accuracy: 74.35%
Epoch [56/200]	Time: 4.26 seconds	Total Loss: 1.062	Classifier Loss: 0.378	Transfer Loss: 0.68374	Source Domain Accuracy: 77.21%    Target Domain Accuracy: 74.28%
Epoch [57/200]	Time: 4.27 seconds	Total Loss: 1.060	Classifier Loss: 0.378	Transfer Loss: 0.68278	Source Domain Accuracy: 77.54%    Target Domain Accuracy: 74.87%
Epoch [58/200]	Time: 5.31 seconds	Total Loss: 1.052	Classifier Loss: 0.370	Transfer Loss: 0.68264	Source Domain Accuracy: 77.41%    Target Domain Accuracy: 73.37%
Epoch [59/200]	Time: 4.27 seconds	Total Loss: 1.058	Classifier Loss: 0.377	Transfer Loss: 0.68125	Source Domain Accuracy: 77.99%    Target Domain Accuracy: 73.05%
Epoch [60/200]	Time: 4.27 seconds	Total Loss: 1.066	Classifier Loss: 0.385	Transfer Loss: 0.68103	Source Domain Accuracy: 75.85%    Target Domain Accuracy: 71.61%
Epoch [61/200]	Time: 4.26 seconds	Total Loss: 1.054	Classifier Loss: 0.372	Transfer Loss: 0.68211	Source Domain Accuracy: 76.82%    Target Domain Accuracy: 73.44%
Epoch [62/200]	Time: 4.27 seconds	Total Loss: 1.056	Classifier Loss: 0.375	Transfer Loss: 0.68094	Source Domain Accuracy: 78.32%    Target Domain Accuracy: 73.89%
Epoch [63/200]	Time: 5.28 seconds	Total Loss: 1.050	Classifier Loss: 0.368	Transfer Loss: 0.68170	Source Domain Accuracy: 78.26%    Target Domain Accuracy: 74.02%
Epoch [64/200]	Time: 4.28 seconds	Total Loss: 1.044	Classifier Loss: 0.365	Transfer Loss: 0.67848	Source Domain Accuracy: 76.56%    Target Domain Accuracy: 73.11%
Epoch [65/200]	Time: 4.26 seconds	Total Loss: 1.043	Classifier Loss: 0.366	Transfer Loss: 0.67649	Source Domain Accuracy: 78.78%    Target Domain Accuracy: 74.93%
Epoch [66/200]	Time: 4.27 seconds	Total Loss: 1.039	Classifier Loss: 0.363	Transfer Loss: 0.67651	Source Domain Accuracy: 78.12%    Target Domain Accuracy: 74.41%
Epoch [67/200]	Time: 4.31 seconds	Total Loss: 1.040	Classifier Loss: 0.357	Transfer Loss: 0.68259	Source Domain Accuracy: 77.99%    Target Domain Accuracy: 73.83%
Epoch [68/200]	Time: 5.31 seconds	Total Loss: 1.041	Classifier Loss: 0.360	Transfer Loss: 0.68020	Source Domain Accuracy: 74.54%    Target Domain Accuracy: 71.16%
Epoch [69/200]	Time: 4.28 seconds	Total Loss: 1.039	Classifier Loss: 0.358	Transfer Loss: 0.68156	Source Domain Accuracy: 78.78%    Target Domain Accuracy: 74.09%
Epoch [70/200]	Time: 4.26 seconds	Total Loss: 1.039	Classifier Loss: 0.358	Transfer Loss: 0.68051	Source Domain Accuracy: 76.63%    Target Domain Accuracy: 73.44%
Epoch [71/200]	Time: 4.26 seconds	Total Loss: 1.031	Classifier Loss: 0.353	Transfer Loss: 0.67754	Source Domain Accuracy: 76.89%    Target Domain Accuracy: 73.50%
Epoch [72/200]	Time: 4.27 seconds	Total Loss: 1.033	Classifier Loss: 0.353	Transfer Loss: 0.67985	Source Domain Accuracy: 76.37%    Target Domain Accuracy: 72.20%
Epoch [73/200]	Time: 5.28 seconds	Total Loss: 1.032	Classifier Loss: 0.352	Transfer Loss: 0.68032	Source Domain Accuracy: 77.67%    Target Domain Accuracy: 73.05%
Epoch [74/200]	Time: 4.25 seconds	Total Loss: 1.034	Classifier Loss: 0.355	Transfer Loss: 0.67890	Source Domain Accuracy: 75.78%    Target Domain Accuracy: 72.46%
Epoch [75/200]	Time: 4.26 seconds	Total Loss: 1.030	Classifier Loss: 0.352	Transfer Loss: 0.67776	Source Domain Accuracy: 77.54%    Target Domain Accuracy: 73.18%
Epoch [76/200]	Time: 4.27 seconds	Total Loss: 1.041	Classifier Loss: 0.361	Transfer Loss: 0.68040	Source Domain Accuracy: 74.80%    Target Domain Accuracy: 71.94%
Epoch [77/200]	Time: 4.26 seconds	Total Loss: 1.021	Classifier Loss: 0.342	Transfer Loss: 0.67871	Source Domain Accuracy: 78.58%    Target Domain Accuracy: 73.57%
Epoch [78/200]	Time: 5.32 seconds	Total Loss: 1.033	Classifier Loss: 0.353	Transfer Loss: 0.68024	Source Domain Accuracy: 78.12%    Target Domain Accuracy: 73.05%
Epoch [79/200]	Time: 4.26 seconds	Total Loss: 1.042	Classifier Loss: 0.359	Transfer Loss: 0.68243	Source Domain Accuracy: 77.21%    Target Domain Accuracy: 72.66%
Epoch [80/200]	Time: 4.25 seconds	Total Loss: 1.023	Classifier Loss: 0.343	Transfer Loss: 0.68026	Source Domain Accuracy: 77.47%    Target Domain Accuracy: 71.68%
Epoch [81/200]	Time: 4.28 seconds	Total Loss: 1.021	Classifier Loss: 0.339	Transfer Loss: 0.68219	Source Domain Accuracy: 76.17%    Target Domain Accuracy: 71.94%
Epoch [82/200]	Time: 4.28 seconds	Total Loss: 1.021	Classifier Loss: 0.338	Transfer Loss: 0.68221	Source Domain Accuracy: 75.52%    Target Domain Accuracy: 71.29%
Epoch [83/200]	Time: 5.32 seconds	Total Loss: 1.022	Classifier Loss: 0.338	Transfer Loss: 0.68350	Source Domain Accuracy: 78.58%    Target Domain Accuracy: 73.96%
Epoch [84/200]	Time: 4.28 seconds	Total Loss: 1.022	Classifier Loss: 0.341	Transfer Loss: 0.68099	Source Domain Accuracy: 76.63%    Target Domain Accuracy: 72.72%
Epoch [85/200]	Time: 4.26 seconds	Total Loss: 1.017	Classifier Loss: 0.336	Transfer Loss: 0.68064	Source Domain Accuracy: 78.84%    Target Domain Accuracy: 74.41%
triggered early stopping
Saved model in: results/DeepMerge_net.pt
-------------------------------------------------
Validating model...
Source domain results:
Accuracy: 79.59%    Balanced Accuracy: 79.66%    Precision: 82.93    Recall: 0.79    F1: 0.81    Brier_score: 0.20    AU: 86.14%
Target domain results:
Accuracy: 74.48%    Balanced Accuracy: 74.47%    Precision: 77.86    Recall: 0.75    F1: 0.76    Brier_score: 0.26    AU: 82.28%
