Training mode: MMD only
Training model...
Epoch [46/100]	Time: 1.75 seconds	Classifier Loss: 0.543		Souce Domain Accuracy: 73.05%    Target Domain Accuracy: 71.68%
Epoch [47/100]	Time: 1.75 seconds	Classifier Loss: 0.542		Souce Domain Accuracy: 75.00%    Target Domain Accuracy: 68.55%
Epoch [48/100]	Time: 0.72 seconds	Classifier Loss: 0.511		Souce Domain Accuracy: 73.44%    Target Domain Accuracy: 69.14%
Epoch [49/100]	Time: 1.76 seconds	Classifier Loss: 0.509		Souce Domain Accuracy: 76.76%    Target Domain Accuracy: 67.77%
Epoch [50/100]	Time: 1.77 seconds	Classifier Loss: 0.514		Souce Domain Accuracy: 73.83%    Target Domain Accuracy: 66.99%
Epoch [51/100]	Time: 1.77 seconds	Classifier Loss: 0.503		Souce Domain Accuracy: 72.27%    Target Domain Accuracy: 70.51%
Epoch [52/100]	Time: 0.72 seconds	Classifier Loss: 0.464		Souce Domain Accuracy: 74.41%    Target Domain Accuracy: 66.02%
Epoch [53/100]	Time: 1.75 seconds	Classifier Loss: 0.458		Souce Domain Accuracy: 76.95%    Target Domain Accuracy: 69.73%
Epoch [54/100]	Time: 1.75 seconds	Classifier Loss: 0.465		Souce Domain Accuracy: 76.37%    Target Domain Accuracy: 70.12%
Epoch [55/100]	Time: 1.75 seconds	Classifier Loss: 0.464		Souce Domain Accuracy: 78.91%    Target Domain Accuracy: 65.82%
Epoch [56/100]	Time: 0.72 seconds	Classifier Loss: 0.451		Souce Domain Accuracy: 72.85%    Target Domain Accuracy: 64.84%
Epoch [57/100]	Time: 1.76 seconds	Classifier Loss: 0.439		Souce Domain Accuracy: 78.91%    Target Domain Accuracy: 67.77%
Epoch [58/100]	Time: 1.77 seconds	Classifier Loss: 0.441		Souce Domain Accuracy: 79.49%    Target Domain Accuracy: 63.28%
Epoch [59/100]	Time: 0.72 seconds	Classifier Loss: 0.445		Souce Domain Accuracy: 72.27%    Target Domain Accuracy: 66.21%
Epoch [60/100]	Time: 1.76 seconds	Classifier Loss: 0.429		Souce Domain Accuracy: 76.56%    Target Domain Accuracy: 59.57%
Epoch [61/100]	Time: 1.77 seconds	Classifier Loss: 0.425		Souce Domain Accuracy: 75.78%    Target Domain Accuracy: 63.09%
Epoch [62/100]	Time: 1.77 seconds	Classifier Loss: 0.431		Souce Domain Accuracy: 75.59%    Target Domain Accuracy: 67.77%
Epoch [63/100]	Time: 0.73 seconds	Classifier Loss: 0.442		Souce Domain Accuracy: 65.23%    Target Domain Accuracy: 63.48%
Epoch [64/100]	Time: 1.77 seconds	Classifier Loss: 0.462		Souce Domain Accuracy: 65.62%    Target Domain Accuracy: 56.25%
Epoch [65/100]	Time: 1.77 seconds	Classifier Loss: 0.575		Souce Domain Accuracy: 69.92%    Target Domain Accuracy: 61.91%
Epoch [66/100]	Time: 0.72 seconds	Classifier Loss: 0.526		Souce Domain Accuracy: 66.80%    Target Domain Accuracy: 64.84%
Epoch [67/100]	Time: 1.77 seconds	Classifier Loss: 0.493		Souce Domain Accuracy: 73.63%    Target Domain Accuracy: 64.06%
Epoch [68/100]	Time: 1.77 seconds	Classifier Loss: 0.483		Souce Domain Accuracy: 74.22%    Target Domain Accuracy: 58.98%
Epoch [69/100]	Time: 1.77 seconds	Classifier Loss: 0.451		Souce Domain Accuracy: 66.21%    Target Domain Accuracy: 59.18%
Epoch [70/100]	Time: 0.73 seconds	Classifier Loss: 0.435		Souce Domain Accuracy: 77.93%    Target Domain Accuracy: 63.48%
Epoch [71/100]	Time: 1.77 seconds	Classifier Loss: 0.416		Souce Domain Accuracy: 68.75%    Target Domain Accuracy: 63.48%
Epoch [72/100]	Time: 1.77 seconds	Classifier Loss: 0.437		Souce Domain Accuracy: 80.47%    Target Domain Accuracy: 63.87%
Epoch [73/100]	Time: 1.77 seconds	Classifier Loss: 0.415		Souce Domain Accuracy: 80.27%    Target Domain Accuracy: 64.06%
Epoch [74/100]	Time: 0.72 seconds	Classifier Loss: 0.513		Souce Domain Accuracy: 68.16%    Target Domain Accuracy: 69.34%
Epoch [75/100]	Time: 1.77 seconds	Classifier Loss: 0.409		Souce Domain Accuracy: 80.86%    Target Domain Accuracy: 59.18%
Epoch [76/100]	Time: 1.77 seconds	Classifier Loss: 0.379		Souce Domain Accuracy: 80.86%    Target Domain Accuracy: 55.47%
Epoch [77/100]	Time: 0.72 seconds	Classifier Loss: 0.387		Souce Domain Accuracy: 81.05%    Target Domain Accuracy: 56.05%
Epoch [78/100]	Time: 1.77 seconds	Classifier Loss: 0.372		Souce Domain Accuracy: 80.66%    Target Domain Accuracy: 56.64%
Epoch [79/100]	Time: 1.77 seconds	Classifier Loss: 0.384		Souce Domain Accuracy: 81.25%    Target Domain Accuracy: 57.23%
Epoch [80/100]	Time: 1.79 seconds	Classifier Loss: 0.379		Souce Domain Accuracy: 80.66%    Target Domain Accuracy: 55.86%
Epoch [81/100]	Time: 0.72 seconds	Classifier Loss: 0.368		Souce Domain Accuracy: 80.27%    Target Domain Accuracy: 54.88%
Epoch [82/100]	Time: 1.77 seconds	Classifier Loss: 0.379		Souce Domain Accuracy: 82.62%    Target Domain Accuracy: 54.88%
Epoch [83/100]	Time: 1.77 seconds	Classifier Loss: 0.366		Souce Domain Accuracy: 82.42%    Target Domain Accuracy: 55.08%
Epoch [84/100]	Time: 0.73 seconds	Classifier Loss: 0.359		Souce Domain Accuracy: 81.45%    Target Domain Accuracy: 54.10%
