Training mode: MMD + fisher + EM
Training model...
Epoch [27/200]	Time: 19.29 seconds	Total Loss: 1.833	Classifier Loss: 0.402	Transfer Loss: 0.108	Fisher Loss: 1.302	EM Loss: 0.020	Souce Domain Accuracy: 77.86%    Target Domain Accuracy: 74.22%
Epoch [28/200]	Time: 19.30 seconds	Total Loss: 1.833	Classifier Loss: 0.403	Transfer Loss: 0.108	Fisher Loss: 1.302	EM Loss: 0.020	Souce Domain Accuracy: 78.26%    Target Domain Accuracy: 73.89%
Epoch [29/200]	Time: 20.67 seconds	Total Loss: 1.820	Classifier Loss: 0.390	Transfer Loss: 0.108	Fisher Loss: 1.302	EM Loss: 0.019	Souce Domain Accuracy: 77.86%    Target Domain Accuracy: 74.02%
Epoch [30/200]	Time: 19.25 seconds	Total Loss: 1.818	Classifier Loss: 0.388	Transfer Loss: 0.109	Fisher Loss: 1.303	EM Loss: 0.019	Souce Domain Accuracy: 77.67%    Target Domain Accuracy: 73.96%
Epoch [31/200]	Time: 19.27 seconds	Total Loss: 1.814	Classifier Loss: 0.384	Transfer Loss: 0.108	Fisher Loss: 1.303	EM Loss: 0.019	Souce Domain Accuracy: 78.12%    Target Domain Accuracy: 74.02%
Epoch [32/200]	Time: 19.25 seconds	Total Loss: 1.815	Classifier Loss: 0.385	Transfer Loss: 0.110	Fisher Loss: 1.302	EM Loss: 0.019	Souce Domain Accuracy: 77.02%    Target Domain Accuracy: 73.11%
Epoch [33/200]	Time: 19.31 seconds	Total Loss: 1.805	Classifier Loss: 0.375	Transfer Loss: 0.109	Fisher Loss: 1.303	EM Loss: 0.019	Souce Domain Accuracy: 78.32%    Target Domain Accuracy: 73.24%
Epoch [34/200]	Time: 20.64 seconds	Total Loss: 1.805	Classifier Loss: 0.375	Transfer Loss: 0.108	Fisher Loss: 1.303	EM Loss: 0.019	Souce Domain Accuracy: 77.28%    Target Domain Accuracy: 73.44%
Epoch [35/200]	Time: 19.31 seconds	Total Loss: 1.798	Classifier Loss: 0.366	Transfer Loss: 0.110	Fisher Loss: 1.303	EM Loss: 0.018	Souce Domain Accuracy: 77.60%    Target Domain Accuracy: 72.20%
Epoch [36/200]	Time: 19.32 seconds	Total Loss: 1.793	Classifier Loss: 0.363	Transfer Loss: 0.109	Fisher Loss: 1.303	EM Loss: 0.018	Souce Domain Accuracy: 77.15%    Target Domain Accuracy: 74.15%
Epoch [37/200]	Time: 19.27 seconds	Total Loss: 1.798	Classifier Loss: 0.368	Transfer Loss: 0.109	Fisher Loss: 1.303	EM Loss: 0.018	Souce Domain Accuracy: 76.76%    Target Domain Accuracy: 72.59%
Epoch [38/200]	Time: 20.66 seconds	Total Loss: 1.802	Classifier Loss: 0.370	Transfer Loss: 0.110	Fisher Loss: 1.303	EM Loss: 0.018	Souce Domain Accuracy: 73.63%    Target Domain Accuracy: 73.63%
Epoch [39/200]	Time: 19.30 seconds	Total Loss: 1.783	Classifier Loss: 0.353	Transfer Loss: 0.108	Fisher Loss: 1.303	EM Loss: 0.018	Souce Domain Accuracy: 79.10%    Target Domain Accuracy: 74.67%
Epoch [40/200]	Time: 19.30 seconds	Total Loss: 1.789	Classifier Loss: 0.357	Transfer Loss: 0.111	Fisher Loss: 1.303	EM Loss: 0.018	Souce Domain Accuracy: 79.56%    Target Domain Accuracy: 73.96%
Epoch [41/200]	Time: 19.32 seconds	Total Loss: 1.788	Classifier Loss: 0.357	Transfer Loss: 0.110	Fisher Loss: 1.303	EM Loss: 0.017	Souce Domain Accuracy: 79.10%    Target Domain Accuracy: 73.37%
Epoch [42/200]	Time: 19.26 seconds	Total Loss: 1.784	Classifier Loss: 0.354	Transfer Loss: 0.109	Fisher Loss: 1.304	EM Loss: 0.017	Souce Domain Accuracy: 74.28%    Target Domain Accuracy: 71.81%
